Algorithm,Spearman_Rho_Mean,Spearman_Rho_Std,Spearman_Rho (Mean ± Std),RMSE_Mean,RMSE_Std,RMSE (Mean ± Std),MAE_Mean,MAE_Std,MAE (Mean ± Std),R^2_Mean,R^2_Std,R^2 (Mean ± Std)
SVR,0.12982907391212237,0.1865675195641786,0.1298 ± 0.1866,618.0898882929516,1069.9590824638701,618.0899 ± 1069.9591,149.15849139749454,304.5259712381843,149.1585 ± 304.5260,-0.09167310723782013,0.2795510867078541,-0.0917 ± 0.2796
Extra Trees Regressor,0.12766406203219607,0.13548326480074377,0.1277 ± 0.1355,838.1947317823964,951.0846841090515,838.1947 ± 951.0847,258.64159595002616,302.4335633137901,258.6416 ± 302.4336,-7609.844298675343,22279.463709083873,-7609.8443 ± 22279.4637
Random Forest Regressor,0.105351778837077,0.15400958571567758,0.1054 ± 0.1540,904.0201160168375,1089.9021640221272,904.0201 ± 1089.9022,305.1755054586262,506.80434185736146,305.1755 ± 506.8043,-49444.74949005136,188032.1146884558,-49444.7495 ± 188032.1147
Gradient Boosting Regressor,0.026715411041220893,0.13563276407119715,0.0267 ± 0.1356,794.7566227460826,1080.2705850926634,794.7566 ± 1080.2706,303.05138374416106,490.79413713854944,303.0514 ± 490.7941,-17846.91622364071,59154.85903671733,-17846.9162 ± 59154.8590
Ridge,-0.012639329325648619,0.1729645807089804,-0.0126 ± 0.1730,759.8843050722153,1004.9006644119817,759.8843 ± 1004.9007,328.887457748848,304.65420643338433,328.8875 ± 304.6542,-5944.607443480013,19818.634754538067,-5944.6074 ± 19818.6348
Lasso,-0.017103849861093055,0.17295423024931794,-0.0171 ± 0.1730,756.5914208472035,1006.0149642846199,756.5914 ± 1006.0150,325.50258842906493,304.2396040480384,325.5026 ± 304.2396,-5864.643515369161,19305.92502807115,-5864.6435 ± 19305.9250
