Algorithm,MCC_Mean,MCC_Std,MCC (Mean ± Std),Macro_F1_Mean,Macro_F1_Std,Macro_F1 (Mean ± Std),F1-Score_Mean,F1-Score_Std,F1-Score (Mean ± Std),Precision_Mean,Precision_Std,Precision (Mean ± Std),Recall_Mean,Recall_Std,Recall (Mean ± Std),AUC-PR_Mean,AUC-PR_Std,AUC-PR (Mean ± Std)
Gradient Boosting,0.1423276856227634,0.16607019787583374,0.1423 ± 0.1661,0.5083738548409786,0.10971330525759872,0.5084 ± 0.1097,0.1619781917097997,0.18810539414949806,0.1620 ± 0.1881,0.15893537554201728,0.2351653681042169,0.1589 ± 0.2352,0.4525664114588868,0.3783684330157244,0.4526 ± 0.3784,0.23141766113410553,0.2592323330743964,0.2314 ± 0.2592
Naive Bayes,0.13267253314281482,0.17860811385084824,0.1327 ± 0.1786,0.5034101364831928,0.12456191858990347,0.5034 ± 0.1246,0.17313942778133082,0.22185744930799672,0.1731 ± 0.2219,0.1749657174740559,0.2508122845953517,0.1750 ± 0.2508,0.37791564565789143,0.35879233933729904,0.3779 ± 0.3588,0.1855157930566086,0.23032180503729288,0.1855 ± 0.2303
Logistic Regression,0.07730720727957562,0.13919652548952058,0.0773 ± 0.1392,0.4167776562802569,0.1471083867467612,0.4168 ± 0.1471,0.13136872432998287,0.1536599233832513,0.1314 ± 0.1537,0.10409333541930399,0.13963445282952486,0.1041 ± 0.1396,0.51512279740525,0.3624594986962823,0.5151 ± 0.3625,0.1628314164165579,0.182113551685309,0.1628 ± 0.1821
KNN,0.02869876130923682,0.07177676714633953,0.0287 ± 0.0718,0.50736622086934,0.1154043317860188,0.5074 ± 0.1154,0.04236443577266554,0.08102851229376881,0.0424 ± 0.0810,0.09962098979919326,0.20830969192060833,0.0996 ± 0.2083,0.06260129173480211,0.13419976942857156,0.0626 ± 0.1342,0.16067116035848486,0.20342028749550575,0.1607 ± 0.2034
Random Forest,0.026223425642801796,0.08934995266562516,0.0262 ± 0.0893,0.5096295717316006,0.1225706655251086,0.5096 ± 0.1226,0.03225296775876544,0.10723213811257697,0.0323 ± 0.1072,0.07567460317460317,0.2209255216239452,0.0757 ± 0.2209,0.033755486611090055,0.12118198243534134,0.0338 ± 0.1212,0.1983180461485889,0.24639454702356353,0.1983 ± 0.2464
Extra Trees,0.021003724939586698,0.07614541277844948,0.0210 ± 0.0761,0.5059357130627734,0.11586170755439124,0.5059 ± 0.1159,0.022578249401993586,0.08052868867611239,0.0226 ± 0.0805,0.069375,0.2306436306837889,0.0694 ± 0.2306,0.016778569849690533,0.05882006668203023,0.0168 ± 0.0588,0.21353479589780602,0.2728396142074335,0.2135 ± 0.2728
