Project_ID,Project,Algorithm,Test_Samples,Mean_Failing_Runs,RMSE,MAE,R^2,Spearman_Rho
E00,activiti,Random Forest Regressor,2044,0.6771037181996086,414.10690550613486,317.13487279843446,-395.20609765507714,0.030773678906340432
E00,activiti,Extra Trees Regressor,2044,0.6771037181996086,460.7282633536676,301.2830381604697,-489.44004020576887,0.013560980467383188
E00,activiti,Gradient Boosting Regressor,2044,0.6771037181996086,148.66622326751107,70.24942572112138,-50.06470496995106,0.05099392527409783
E00,activiti,Ridge,2044,0.6771037181996086,193.25475537193333,152.80379880444502,-85.2892289432177,-0.053382013513906854
E00,activiti,Lasso,2044,0.6771037181996086,176.04695379433258,139.33990579714683,-70.60663065201395,-0.050906670832902304
E00,activiti,SVR,2044,0.6771037181996086,20.80930536637662,1.5441519426211956,-0.00048683035173602285,-0.008261976395480777
E01,alluxio,Random Forest Regressor,187,91.74866310160428,380.6060188980074,203.16844919786095,-23.691113932330264,0.6246178142743349
E01,alluxio,Extra Trees Regressor,187,91.74866310160428,536.2495284277995,230.61197860962565,-48.01434757194244,0.4370065644987788
E01,alluxio,Gradient Boosting Regressor,187,91.74866310160428,395.78057821440007,230.575817795791,-25.69920542693798,-0.12136668336948055
E01,alluxio,Ridge,187,91.74866310160428,308.7698389388513,279.31182507858733,-15.25021540265374,-0.2307411659939065
E01,alluxio,Lasso,187,91.74866310160428,303.9721147373165,274.98018281437936,-14.74914093315896,-0.23341152858674777
E01,alluxio,SVR,187,91.74866310160428,118.97491272197412,91.33264426415121,-1.4126824733278358,0.6801091701215131
E02,ambari,Random Forest Regressor,324,105.1358024691358,1242.0925817912048,178.46870370370368,-0.004792823205225227,0.3021256355053565
E02,ambari,Extra Trees Regressor,324,105.1358024691358,1255.5178302984082,207.08490740740743,-0.026630961805728992,0.18638520527996297
E02,ambari,Gradient Boosting Regressor,324,105.1358024691358,1245.4482106019398,186.79269133110623,-0.010229239608546159,-0.19741731885932942
E02,ambari,Ridge,324,105.1358024691358,1244.080902864474,210.8354893499413,-0.008012309155022157,-0.09924811859228783
E02,ambari,Lasso,324,105.1358024691358,1246.1272122511944,215.36125127188126,-0.011331066723659688,-0.10872986507091567
E02,ambari,SVR,324,105.1358024691358,1243.5634386867957,105.4056590982196,-0.007173936377311119,0.42309155997303316
E03,commons-exec,Random Forest Regressor,55,0.6,534.881185671598,124.54836363636363,-14715.96927908718,0.20215187397152382
E03,commons-exec,Extra Trees Regressor,55,0.6,973.5323278266811,356.39563636363636,-48752.353566030724,0.05212828157676493
E03,commons-exec,Gradient Boosting Regressor,55,0.6,255.40418540203018,158.43566848497497,-3354.5194403742107,0.08573800294917794
E03,commons-exec,Ridge,55,0.6,296.314192505656,264.6208066134597,-4515.568965034931,0.18859298328700122
E03,commons-exec,Lasso,55,0.6,291.73545606718073,260.2211698737235,-4377.064625860391,0.18002057495577392
E03,commons-exec,SVR,55,0.6,4.391188221239736,0.6859151926725741,0.008100103171058803,0.23145502494313788
E04,hbase,Random Forest Regressor,431,515.4941995359628,1496.9301829863336,583.0366125290024,-0.17935520648567338,0.28127219998862835
E04,hbase,Extra Trees Regressor,431,515.4941995359628,1483.5294765921792,622.6612064965196,-0.15833424975851407,0.3037143236310417
E04,hbase,Gradient Boosting Regressor,431,515.4941995359628,1447.6175848525208,551.0752312611652,-0.10293327198223934,0.2516829090718244
E04,hbase,Ridge,431,515.4941995359628,1539.1254419214024,597.9362611198559,-0.24677926931732208,0.24351204422707448
E04,hbase,Lasso,431,515.4941995359628,1533.5169230496424,594.2975884964063,-0.23770938520781093,0.22189716713018548
E04,hbase,SVR,431,515.4941995359628,1471.5559126191097,515.4492761688956,-0.13971187716569178,0.3140590795851628
E05,httpcore,Random Forest Regressor,712,0.49719101123595505,201.89485461506547,56.87183403558053,-595.0366047890334,0.23386859163912896
E05,httpcore,Extra Trees Regressor,712,0.49719101123595505,311.6312660864897,96.26358146067417,-1419.0527546973728,0.1456429518526062
E05,httpcore,Gradient Boosting Regressor,712,0.49719101123595505,187.70511301009319,96.03675526808132,-514.198554646919,0.13847014707222405
E05,httpcore,Ridge,712,0.49719101123595505,220.49508005098548,200.6284457928923,-709.9191897340769,-0.001741576232654624
E05,httpcore,Lasso,712,0.49719101123595505,213.82344419375863,195.0869552988502,-667.5487357297162,-0.017028030650474115
